"institute.name","Total.cases.to.date","Total.students.to.date","Total.staff.to.date","Date","Article","Total.outbreaks.to.date","Outbreak.dates","Outbreak.Status","School.board","Type_of_school","City","Province","Latitude","Longitude"
"Anderson CVI","1",NA,NA,"2020-12-23","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-23T1630.html",0,NA,"Single/unlinked cases","Durham DSB","TBA","Whitby","ON",43.8875815,-78.9241623
"Valley Farm Public School","1 ; 1",NA,NA,"2020-12-18 ; 2020-12-23","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-18T1630.html ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-23T1630.html",0,NA,"Single/unlinked cases","Durham DSB","TBA","Pickering","ON",43.858578,-79.0873293
"Archbishop Anthony Meagher Catholic Continuing Education Center","1",NA,NA,"2020-12-21","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-21T1630.html",0,NA,"Single/unlinked cases","Dufferin-Peel CDSB","TBA","Ajax","ON",43.8473487,-79.0386579
"St Joseph Catholic School","1 ; 1",NA,NA,"2020-12-16 ; 2020-12-22","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-16T1630.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-22T1630.html",0,NA,"Single/unlinked cases","Dufferin-Peel CDSB","TBA","Oshawa","ON",43.9350756,-78.8494441
"Trenton High School","2","","","2020-12-08","https://masks4canada.org/2020/12/09/ontario-dsbs-2020-12-08/;",0,"","Single/unlinked cases","Hastings and Prince Edward DSB","TBA","Trenton","ON",44.097011,-77.59194
"Trent River Public School","1","1","","2020-12-08","https://masks4canada.org/2020/12/09/ontario-dsbs-2020-12-08/;",0,"","Single/unlinked cases","Hastings and Prince Edward DSB","TBA","Trenton","ON",44.1099348,-77.5761225
"Saint Paul Catholic School","1","1",NA,"2020-11-29","https://masks4canada.org/2020/12/09/ontario-dsbs-2020-12-08/",0,"","Single/unlinked cases","Algonquin & Lakeshore CDSB","TBA","Kingston","ON",44.2496152,-76.5242158
"Listowel District Secondary School","1","","","2020-12-06","https://masks4canada.org/2020/12/09/ontario-dsbs-2020-12-08/",0,"","Single/unlinked cases","Avon-Maitland DSB","TBA","Listowel","ON",43.7279774,-80.9464356
"A. N. Myer Secondary School","1","N/A","N/A","2020-12-08","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html#Niagara_DSB_changed",0,"","Single/unlinked cases","Niagara DSB","Secondary","Niagara Falls","ON",43.1223593,-79.10188
"Quaker Road Public School","1 ; 1","N/A","N/A","2020-12-08 ; 2020-12-13","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html#Niagara_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-13T1630.html#Niagara_DSB_changed",0,"","Single/unlinked cases","Niagara DSB","Elementary","Welland","ON",43.0215544,-79.2616548
"École secondaire Jeunes sans frontieres","1;1;1","1;1","1","2020-12-06 ; 2020-12-07 ; 2020-12-13","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-06T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-07T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-13T1630.html",0,NA,"Single/unlinked cases","CS Viamonde","TBA","Brampton","ON",43.6241261,-79.7584492
