"institute.name","School.board","City.x","School.Code","School.Name","Board.Name","City.y","mm","city_match"
"St Joseph Catholic School","Dufferin-Peel CDSB","Oshawa","814423","St Joseph Catholic School","Durham CDSB","Oshawa",0,TRUE
"Trenton High School","Hastings and Prince Edward DSB","Trenton","948705","Trenton High School","Hastings & Prince Edward DSB","Trenton",0,TRUE
"Trent River Public School","Hastings and Prince Edward DSB","Trenton","162909","Trent River Public School","Hastings & Prince Edward DSB","Trenton",0,TRUE
"Listowel District Secondary School","Avon-Maitland DSB","Listowel","923095","Listowel District Secondary School","Avon Maitland DSB","Listowel",0,TRUE
"Quaker Road Public School","Niagara DSB","Welland","461415","Quaker Road Public School","DSB Niagara","Welland",0,TRUE
"Stirling Public School","Hastings Prince Edward DSB","Stirling","478084","Stirling Public School","Hastings & Prince Edward DSB","Stirling",0,TRUE
"C M L Snider Elementary School","Hastings Prince Edward DSB","Wellington","122661","C M L Snider Elementary School","Hastings & Prince Edward DSB","Wellington",0,TRUE
"Hespeler Public School","Waterloo Regional DSB","Cambridge","095230","Hespeler Public School","Waterloo Region DSB","Cambridge",0,TRUE
"Port Colborne High School","Niagara DSB","Port Colborne","935700","Port Colborne High School","DSB Niagara","Port Colborne",0,TRUE
"East Oro Public School","Simcoe County DSB","Hawkestone","160172","East Oro Public School","Simcoe County DSB","Hawkestone",0,TRUE
"A J Charbonneau Elementary Public School","Renfrew County DSB","Arnprior","018830","A J Charbonneau Elementary Public School","Renfrew County DSB","Arnprior",0,TRUE
"Renfrew Collegiate Institute","Renfrew County DSB","Renfrew","937916","Renfrew Collegiate Institute","Renfrew County DSB","Renfrew",0,TRUE
"Jean Steckle Public School","Waterloo Regional DSB","Kitchener","471541","Jean Steckle Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Preston High School","Waterloo Regional DSB","Cambridge","936480","Preston High School","Waterloo Region DSB","Cambridge",0,TRUE
"Maxwell Heights Secondary School","Durham DSB","Oshawa","932345","Maxwell Heights Secondary School","Durham DSB","Oshawa",0,TRUE
"Ken Danby Public School","Upper Grand DSB","Guelph","586866","Ken Danby Public School","Upper Grand DSB","Guelph",0,TRUE
"Prince Philip Public School","Niagara DSB","Niagara Falls","456110","Prince Philip Public School","DSB Niagara","Niagara Falls",0,TRUE
"Boyne River Public School","Simcoe County DSB","Alliston","028130","Boyne River Public School","Simcoe County DSB","Alliston",0,TRUE
"Brooklin High School","Durham DSB","Whitby","934991","Brooklin High School","Durham DSB","Whitby",0,TRUE
"River Oaks Public School","Halton DSB","Oakville","485438","River Oaks Public School","Halton DSB","Oakville",0,TRUE
"Governor Simcoe Secondary School","Niagara DSB","St Catharines","914010","Governor Simcoe Secondary School","DSB Niagara","St Catharines",0,TRUE
"Bloorview School Authority","Bloorview School Authority","Toronto","417556","Bloorview School Authority","Bloorview SA","Toronto",0,TRUE
"St. John Henry Newman Catholic Secondary School","Hamilton-Wentowrth CDSB","Stoney Creek","694134","St. John Henry Newman Catholic Secondary School","Hamilton-Wentworth CDSB","Stoney Creek",0,TRUE
"Ancaster High School","Hamilton-Wentworth DSB","Ancaster","891894","Ancaster High School","Hamilton-Wentworth DSB","Ancaster",0,TRUE
"Portage View Public School","Simcoe County DSB","Barrie","451649","Portage View Public School","Simcoe County DSB","Barrie",0,TRUE
"Northbrae Public School","Thames Valley DSB","London","410357","Northbrae Public School","Thames Valley DSB","London",0,TRUE
"Bishop Smith Catholic High School","Renfrew County CDSB","Pembroke","689939","Bishop Smith Catholic High School","Renfrew County CDSB","Pembroke",0,TRUE
"St. Elizabeth Seton Catholic Elementary School","Halton CDSB","Burlington","789232","St. Elizabeth Seton Catholic Elementary School","Halton CDSB","Burlington",0,TRUE
"St. Thomas More Catholic Secondary School","Hamilton-Wentworth CDSB","Hamilton","855685","St. Thomas More Catholic Secondary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Lexington Public School","Waterloo Regional DSB","Waterloo","588326","Lexington Public School","Waterloo Region DSB","Waterloo",0,TRUE
