"institute.name","Total.cases.to.date","Total.students.to.date","Total.staff.to.date","Date","Article","Total.outbreaks.to.date","Outbreak.dates","Outbreak.Status","School.board","Type_of_school","City","Province","Latitude","Longitude"
"Archbishop Anthony Meagher Catholic Continuing Education Center","1",NA,NA,"2020-12-21","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-21T1630.html",0,NA,"Single/unlinked cases","Dufferin-Peel CDSB","TBA","Ajax","ON",43.8473487,-79.0386579
"Elementary School Gabrielle-Roy","2;1","2;1",NA,"2020-10-26 ; 2020-11-13","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-26T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-13T1545.html;https://masks4canada.org/2020/11/18/tph-declared-covid-19-outbreaks-in-school/",1,"2020-11-16","Declared outbreak","CS Viamonde","Elementary","Toronto","ON",43.6567289,-79.3722349
"School Intermediate Catholique Renaissance","1;1",NA,NA,"2020-10-13; 2020-10-22","https://masks4canada.org/2020/10/25/covid-19-school-report-csc-monavenir/",0,"","Single/unlinked cases","CSC MonAvenir","Elementary","Maple","ON",43.8472823,-79.5045715
"Elementary School Catholic Notre-Dame-De-La-Jeunesse","2",NA,NA,"2020-10-21","https://masks4canada.org/2020/10/25/covid-19-school-report-csc-monavenir/",0,"","Single/unlinked cases","CSC MonAvenir","Elementary","Niagara Falls","ON",43.068263,-79.102347
"Elementary School Catholic Du Sacré-Coeur","1",NA,NA,"2020-10-08","https://masks4canada.org/2020/10/25/covid-19-school-report-csc-monavenir/",0,"","Single/unlinked cases","CSC MonAvenir","Elementary","Welland","ON",42.9949894,-79.2740274
"Frank Panabaker Elementary School - North Campus","1 ; 1 ; 1 ; 1 ; 1","1 ; 1 ; 1","1 ; 1","2020-10-07 ; 2020-10-21 ; 2020-12-08 ; 2020-12-11 ; 2020-12-17","https://masks4canada.org/2020/10/08/covid-19-school-report-frank-panabaker-es/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-22T1545.html#Hamilton-Wentworth_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html#Hamilton-Wentworth_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-12T1630.html#Hamilton-Wentworth_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-18T1630.html#Hamilton-Wentworth_DSB_changed ; https://masks4canada.org/2020/12/17/covid-19-school-report-hamilton-wentworth-cases-and-outbreak-3/",1,"2020-12-15","Declared outbreak","Hamilton-Wentworth DSB","Elementary","Ancaster","ON",43.2091368,-79.9921935
"Elementary School Catholic Saint-Rémi - Saturday Alhekmah school","1;1","1;NA","NA;NA","2020-09-17;2020-11-11","https://www.ecolecatholique.ca/fr/Cas-De-Covid19_379 ;https://www.ontario.ca/page/covid-19-cases-schools-and-child-care-centres; https://masks4canada.org/2020/09/22/covid-19-school-report-cecce-schools-september-21-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-11T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",0,NA,"Single/unlinked cases","CECCE","Elementary","Kanata","ON",45.3275474,-75.9228356
"Templemead School (Umbrella Family and Child Centres of Hamilton)","1",NA,"1","2020-09-17","https://www.hwdsb.on.ca/templemead/2020/09/17/child-care-centre-at-templemead-covid-19-update/ ;https://toronto.ctvnews.ca/first-case-of-covid-19-confirmed-at-hamilton-wentworth-district-school-board-1.5109986;https://masks4canada.org/2020/09/18/covid-19-school-report-templemead-school-umbrella-family-and-child-centres-of-hamilton/",0,NA,"Single/unlinked cases","Hamilton-Wentworth DSB","Elementary","Hamilton","ON",43.19685,-79.847956
"Elementary School Antonine-Maillet","1","1",NA,"2020-09-21","https://masks4canada.org/2020/09/22/covid-19-school-report-cs-viamonde/",0,"","Single/unlinked cases","CS Viamonde","Elementary","Oshawa","ON",43.9003747,-78.8896062
"Elementary School Catholic Horizon-Jeunesse","1;1;4;1","NA; NA;3;NA","NA; 1;1;NA","2020-09-21; 2020-09-24;2020-10-06;2020-12-03","https://masks4canada.org/2020/09/22/covid-19-school-report-cecce-schools-september-21-2020/;https://masks4canada.org/2020/09/25/covid19-school-report-cecce-schools-reported-by-ontario-phu/;https://masks4canada.org/2020/10/06/covid19-school-report-cecce-schools-oct-6-2020-reported-by-ontario-phu/;https://masks4canada.org/2020/10/06/covid19-school-report-ottawa-outbreak-list-oct-6-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-03T1737.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",1,"2020-10-04","Declared outbreak","CECCE","Elementary","Ottawa","ON",45.4325053,-75.6590595
