School Name TDSB 		LC	LN	HEPA Filters	School.NameON	Board.Name	School Number	City	Street	Lat	Long	MM	match
Braeburn Junior School	partial mechanical	1	2	Yes	Braeburn Junior School	Toronto DSB	57100	Toronto	15 Tandridge Cres	43.7282579	-79.54867384	2	TRUE
Claireville Junior School	partial mechanical	1	1	Yes	Claireville Junior School	Toronto DSB	107948	Toronto	350 Silverstone Dr	43.74814945	-79.59847498	2	TRUE
Elmlea Junior School	partial mechanical	1	1	No	Elmlea Junior School	Toronto DSB	177261	Toronto	50 Hadrian Dr	43.71625995	-79.54996072	2	TRUE
Highfield Junior School	partial mechanical	1	1	Yes	Highfield Junior School	Toronto DSB	255521	Toronto	85 Mount Olive Dr	43.7453464	-79.5892723	2	TRUE
John D. Parker Junior School	all mechanical	1	1	No	John D Parker Junior School	Toronto DSB	283436	Toronto	202 Mount Olive Dr	43.7534948	-79.59593807	2	TRUE
Melody Village Junior School	all mechanical	1	2	No	Melody Village Junior School	Toronto DSB	360198	Toronto	520 Silverstone Dr	43.7379059	-79.59461791	2	TRUE
Parkfield Junior School	partial mechanical	1	2	Yes	Parkfield Junior School	Toronto DSB	434400	Toronto	31 Redgrave Dr	43.6819873	-79.56953695	2	TRUE
Rivercrest Junior School	partial mechanical	1	2	Yes	Rivercrest Junior School	Toronto DSB	485756	Toronto	30 Harefield Dr	43.72933685	-79.56985574	2	TRUE
Smithfield  Middle School	all mechanical	1	1	No	Smithfield Middle School	Toronto DSB	518840	Toronto	175 Mount Olive Dr	43.7497345	-79.59635905	2	FALSE
The Elms Junior Middle School	partial mechanical	1	2	Yes	The Elms Junior Middle School	Toronto DSB	551279	Toronto	45 Golfdown Dr	43.72176985	-79.55217332	2	TRUE
Bloorlea Middle School	partial mechanical	1	1	Yes	Bloordale Middle School	Toronto DSB	54801	Toronto	10 Toledo Rd	43.6399318	-79.57275222	2	FALSE
Bloorlea Middle School	partial mechanical	1	1	Yes	Bloorlea Middle School	Toronto DSB	54933	Toronto	4050 Bloor St W	43.63784535	-79.55537918	2	TRUE
Briarcrest Junior School	all mechanical	1	1	No	Briarcrest Junior School	Toronto DSB	60917	Toronto	60 Wellesworth Dr	43.6667533	-79.58051957	2	TRUE
Central Etobicoke High School*	all mechanical	1	3	No	Central Etobicoke High School	Toronto DSB	952842	Toronto	10 Denfield St	43.67885645	-79.55645592	2	FALSE
Eatonville Junior School	all mechanical	1	1	No	Eatonville Junior School	Toronto DSB	164780	Toronto	15 Rossburn Dr	43.6382184	-79.56633022	2	TRUE
Etobicoke Collegiate Institute	all mechanical	1	2	No	Etobicoke Collegiate Institute	Toronto DSB	909572	Toronto	86 Montgomery Rd	43.6497841	-79.52250763	2	TRUE
Hilltop Middle School	partial mechanical	1	3	Yes	Hilltop Middle School	Toronto DSB	259551	Toronto	35 Trehorne Dr	43.68820715	-79.5330836	2	TRUE
Hollycrest Middle School	all mechanical	1	1	No	Hollycrest Middle School	Toronto DSB	263010	Toronto	630 Renforth Dr	43.65552175	-79.58269465	2	TRUE
Kipling Collegiate Institute	all mechanical	1	3	No	Kipling Collegiate Institute	Toronto DSB	920231	Toronto	380 The Westway	43.68547565	-79.56304241	2	TRUE
Mill Valley Junior School	partial mechanical	1	1	Yes	Mill Valley Junior School	Toronto DSB	364746	Toronto	411 Mill Rd	43.64423215	-79.58663673	2	TRUE
Millwood Junior School	partial mechanical	1	1	Yes	Millwood Junior School	Toronto DSB	365769	Toronto	222 Mill Rd	43.6329592	-79.57706822	2	TRUE
Richview Collegiate  Institute	all mechanical	1	2	No	Richview Collegiate Institute	Toronto DSB	938173	Toronto	1738 Islington Ave	43.67796585	-79.54090919	2	FALSE
Rosethorn  Junior School	partial mechanical	1	2	Yes	Rosethorn Junior School	Toronto DSB	491730	Toronto	2 Remington Dr	43.65950785	-79.53993552	2	FALSE
Seneca School *	partial mechanical	1	1	Yes	Seneca School	Toronto DSB	505587	Toronto	580 Rathburn Rd	43.650993	-79.58245191	2	FALSE
St. George's Junior School	no mechanical	1	2	Yes	St George's Junior School	Toronto DSB	529958	Toronto	70 Princess Anne Cres	43.6725877	-79.54128243	2	FALSE
Valleyfield Junior School	partial mechanical	1	3	Yes	Valleyfield Junior School	Toronto DSB	569607	Toronto	35 Saskatoon Dr	43.69385145	-79.53808578	2	TRUE
Wedgewood Junior School	partial mechanical	1	1	Yes	Wedgewood Junior School	Toronto DSB	591050	Toronto	5 Swan Ave	43.6448434	-79.54604622	2	TRUE
Wellesworth Junior School	all mechanical	1	1	No	Wellesworth Junior School	Toronto DSB	593915	Toronto	225 Wellesworth Dr	43.65600205	-79.57597777	2	TRUE
West Glen Junior School	partial mechanical	1	1	Yes	West Glen Junior School	Toronto DSB	595608	Toronto	47 Cowley Ave	43.65016915	-79.56067046	2	TRUE
Westmount Junior School	partial mechanical	1	3	Yes	Westmount Junior School	Toronto DSB	602108	Toronto	95 Chapman Rd	43.688662	-79.51940596	2	TRUE
Westway  Junior School	no mechanical	1	3	Yes	Westway Junior School	Toronto DSB	603015	Toronto	25 Poynter Dr	43.6904262	-79.54912847	2	FALSE
Castlebar  Junior School	all mechanical	4	20	No	Castlebar Junior School	Toronto DSB	136551	Toronto	70 Chartwell Road	43.63053085	-79.51454015	2	FALSE
David Hornell Junior School	no mechanical	4	19	Yes	David Hornell Junior School	Toronto DSB	134627	Toronto	32 Victoria St	43.6193473	-79.48899241	2	TRUE
Etobicoke School of the Arts	all mechanical	4	20	No	Etobicoke School of the Arts	Toronto DSB	909602	Toronto	675 Royal York Rd	43.6309161	-79.50378648	2	TRUE
Etobicoke Year Round Alternative Centre	no mechanical	5	30	Yes	Etobicoke Year Round Alternative Centre	Toronto DSB	924246	Toronto	160 Silverhill Drive	43.6337421	-79.5512611	2	TRUE
George R. Gauld Junior School	partial mechanical	4	19	Yes	George R Gauld Junior School	Toronto DSB	213144	Toronto	200 Melrose St	43.62074725	-79.49831489	2	FALSE
Islington Junior Middle School	all mechanical	4	19	No	Islington Junior Middle School	Toronto DSB	278920	Toronto	44 Cordova Ave	43.647313	-79.52811093	2	TRUE
Kare n Kain School of the Arts	no mechanical	4	20	Yes	Karen Kain School of the Arts	Toronto DSB	382068	Toronto	60 Berl Ave	43.6313387	-79.50037546	2	FALSE
Lakeshore Collegiate Institute	partial mechanical	4	19	Yes	Lakeshore Collegiate Institute	Toronto DSB	921092	Toronto	350 Kipling Ave	43.6012924	-79.51967075	2	TRUE
Lanor Junior Middle School	partial mechanical	4	19	Yes	Lanor Junior Middle School	Toronto DSB	308048	Toronto	450 Lanor Ave	43.6097556	-79.54450697	2	TRUE
Norseman Junior Middle School	all mechanical	4	20	No	Norseman Junior Middle School	Toronto DSB	402940	Toronto	105 Norseman St	43.6341938	-79.51623844	2	TRUE
Seventh Street Junior School	all mechanical	4	19	No	Seventh Street Junior School	Toronto DSB	506036	Toronto	101 Seventh St	43.5996383	-79.50421181	2	TRUE
Sir Adam Beck Junior School	all mechanical	4	19	No	Sir Adam Beck Junior School	Toronto DSB	515132	Toronto	544 Horner Ave	43.60155045	-79.54844411	2	TRUE
Sunnylea Junior School	partial mechanical	4	20	Yes	Sunnylea Junior School	Toronto DSB	543470	Toronto	35 Glenroy Ave	43.6422686	-79.50663179	2	TRUE
Twentieth  Street Junior School	all mechanical	4	19	No	Twentieth Street Junior School	Toronto DSB	563234	Toronto	3190 Lake Shore Blvd W	43.5983767	-79.52001996	2	FALSE
Elia Middle School	all mechanical	2	7	No	Elia Middle School	Toronto DSB	171026	Toronto	215 Sentinel Rd	43.75391945	-79.49854293	2	TRUE
Emery Collegiate  Institute	all mechanical	2	11	No	Emery Collegiate Institute	Toronto DSB	908665	Toronto	3395 Weston Rd	43.747213	-79.5412101	2	FALSE
Ancaster Public School	partial mechanical	2	12	Yes	Ancaster Public School	Toronto DSB	18929	Toronto	44 Ancaster Rd	43.7329594	-79.46687875	2	TRUE
Beverley Heights Middle School	partial mechanical	2	8	Yes	Beverley Heights Middle School	Toronto DSB	48046	Toronto	26 Troutbrooke Dr	43.7327783	-79.50451959	2	TRUE
Calico Public School*	partial mechanical	2	8	Yes	Calico Public School	Toronto DSB	75990	Toronto	35 Calico Dr	43.73846385	-79.50350867	2	FALSE
Downsview  Public School	partial mechanical	2	12	Yes	Downsview Public School	Toronto DSB	146978	Toronto	2829 Keele St	43.73155615	-79.48179806	2	FALSE
Downsview  Secondary School	partial mechanical	2	12	Yes	Downsview Secondary School	Toronto DSB	904635	Toronto	7 Hawksdale Rd	43.7306438	-79.47845733	2	FALSE
Highview Public School	partial mechanical	2	12	Yes	Highview Public School	Toronto DSB	256170	Toronto	22 Highview Ave	43.72194805	-79.497569	2	TRUE
Pierre Laporte Middle School	all mechanical	2	12	No	Pierre Laporte Middle School	Toronto DSB	443697	Toronto	1270 Wilson Ave	43.72509305	-79.49262183	2	TRUE
Rockford Public School	partial mechanical	2	8	Yes	Rockford Public School	Toronto DSB	488488	Toronto	60 Rockford Rd	43.78617665	-79.45238238	2	TRUE
Tumpane Public School	partial mechanical	2	8	Yes	Tumpane Public School	Toronto DSB	562580	Toronto	48 Tumpane St	43.72652915	-79.50288236	2	TRUE
Wilmington  Elementary School	partial mechanical	2	8	Yes	Wilmington Elementary School	Toronto DSB	89516	Toronto	330 Wilmington Ave	43.7684454	-79.46101595	2	FALSE
Amesbury  Middle School	all mechanical	1	3	No	Amesbury Middle School	Toronto DSB	466255	Toronto	201 Gracefield Ave	43.7080585	-79.49417372	2	FALSE
Bala Avenue Community School	all mechanical	1	3	No	Bala Avenue Community School	Toronto DSB	30104	Toronto	6 Bala Ave	43.6897302	-79.49978737	2	TRUE
Brookhaven Public School	all mechanical	1	3	No	Brookhaven Public School	Toronto DSB	66508	Toronto	70 Brookhaven Dr	43.70219045	-79.49579251	2	TRUE
Charles E Webster  Public School	partial mechanical	1	4	Yes	Charles E Webster Public School	Toronto DSB	101605	Toronto	1900 Keele St	43.6931755	-79.47609845	2	FALSE
Dennis Avenue Community School	partial mechanical	1	4	Yes	Dennis Avenue Community School	Toronto DSB	137090	Toronto	17 Dennis Ave	43.68430315	-79.4873101	2	TRUE
Frank Oke Secondary School	partial mechanical	1	4	Yes	Frank Oke Secondary School	Toronto DSB	911070	Toronto	500 Alliance Ave	43.67771775	-79.48856675	2	TRUE
George Anderson Public School	no mechanical	1	3	Yes	George Anderson Public School	Toronto DSB	211842	Toronto	30 George Anderson Dr	43.7053454	-79.47951373	2	TRUE
George Syme Community  School	all mechanical	1	4	No	George Syme Community School	Toronto DSB	213403	Toronto	69 Pritchard Ave	43.66883295	-79.49092629	2	FALSE
Gracefield Public School	no mechanical	1	3	Yes	Gracefield Public School	Toronto DSB	225886	Toronto	177 Gracefield Ave	43.7086325	-79.49189308	2	TRUE
Lambton Park Community  School	partial mechanical	1	4	Yes	Lambton Park Community School	Toronto DSB	305707	Toronto	50 Bernice Cres	43.66765625	-79.49847212	2	FALSE
Maple Leaf Public School	partial mechanical	1	3	Yes	Maple Leaf Public School	Toronto DSB	335606	Toronto	301 Culford Rd	43.71466505	-79.48954715	2	TRUE
Pelmo Park Public School	partial mechanical	1	3	Yes	Pelmo Park Public School	Toronto DSB	439479	Toronto	180 Gary Dr	43.7121949	-79.5175564	2	TRUE
Rockcliffe  Middle School	partial mechanical	1	4	Yes	Rockcliffe Middle School	Toronto DSB	488348	Toronto	400 Rockcliffe Blvd	43.67406065	-79.4895926	2	FALSE
Weston Collegiate  Institute	all mechanical	1	3	No	Weston Collegiate Institute	Toronto DSB	952605	Toronto	100 Pine St	43.70368695	-79.51070067	2	FALSE
York Humber High School*	all mechanical	1	3	No	York Humber High School	Toronto DSB	954640	Toronto	100 Emmett Ave	43.68846955	-79.50639043	2	FALSE
Humbercrest Public School	partial mechanical	4	20	Yes	Humbercrest Public School	Toronto DSB	270474	Toronto	14 Saint Marks Rd	43.6606452	-79.49110735	2	TRUE
Parkdale Collegiate  Institute	all mechanical	4	19	No	Parkdale Collegiate Institute	Toronto DSB	933759	Toronto	209 Jameson Ave	43.6394906	-79.43538339	2	FALSE
Runnymede Collegiate Institute	all mechanical	4	20	No	Runnymede Collegiate Institute	Toronto DSB	939609	Toronto	569 Jane St	43.6635238	-79.48945928	2	TRUE
Allenby Junior Public School	partial mechanical	1	6	Yes	Allenby Junior Public School	Toronto DSB	13200	Toronto	391 St Clements Ave	43.70964215	-79.4120585	2	TRUE
