"institute_name","Total_cases_to_date","Total_students_to_date","Total_staff_to_date","Date","Article","Total_outbreaks_to_date","Outbreak_dates","Outbreak_Status","School_board","Type_of_school","City","Province","Latitude","Longitude","Is_Single","Is_Outbreak","Is_Cluster","Last_Reported_Date","Difference_In_Days","Total_Cases_Summed"
"Edmund Partridge Community School","1",NA,NA,"2020-12-14","https://masks4canada.org/2020/12/15/manitoba-2020-12-14/",0,NA,"Single/unlinked cases","Seven Oaks SD","TBA","Winnipeg","MB",49.9399054,-97.1157057,0,0,0,"2020-12-14",56,1
"Frontenac School","1; 2",NA,NA,"2020-12-03; 2021-01-22; 2021-01-25","https://masks4canada.org/2020/12/06/manitoba-covid-reports-2/ ; https://drive.google.com/drive/folders/1rXfI15jvg7PjcOi_0NDcFUdHFiK6L-Ay?usp=sharing",0,NA,"Single/unlinked cases","Louis Riel SD","TBA","Winnipeg","MB",49.867051,-97.0824085,0,0,0,"2021-01-25",14,3
"Calvin Christian School - Collegiate Campus","1",NA,NA,"2020-11-22","https://masks4canada.org/2020/11/25/10237/",0,NA,"Single/unlinked cases","Indep Schools","TBA","Winnipeg","MB",49.8987016,-97.001654,0,0,0,"2020-11-22",78,1
"Beautiful Savior Lutheran School/Church","1; 1",NA,NA,"2020-11-23; 2020-12-20","https://masks4canada.org/2020/11/25/10237/;https://masks4canada.org/2020/12/24/manitoba-covid-reports-12/",0,NA,"Single/unlinked cases","Indep Schools","TBA","Winnipeg","MB",49.8728463,-97.1299037,0,0,0,"2020-12-20",50,2
"Beausejour Early Years School","1",NA,NA,"2020-11-10","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T2228.html#Interlake_Eastern_changed",0,NA,"Single/unlinked cases","Sunrise SD","TBA","Beausejour","MB",50.0531898,-96.5054292,0,0,0,"2020-11-10",90,1
"École Île-Des-Chênes School","4; 1",NA,NA,"2020-10-28; 2020-11-10","https://masks4canada.org/2020/10/30/non-winnipeg-covid-school-report-2020-10-29/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T2228.html#Southern_Health-Santè_Sud_changed",0,NA,"Single/unlinked cases","Franco-Manitobaine SD","Mixed","Ile des Chênes","MB",49.710385,-96.985186,0,0,0,"2020-11-10",90,5
"Bernie Wolfe Community School","1; 1; 1; 1; 1; 1; 1; 1",NA,NA,"2020-10-28; 2020-10-31; 2020-11-16; 2020-11-16; 2020-11-19; 2020-12-07; 2020-12-12; 2021-02-03","https://masks4canada.org/2020/10/30/winnipeg-school-covid-reports-2020-10-29/; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-31T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-19T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-19T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/21/winnipeg-covid-school-reports-2/;https://masks4canada.org/2020/12/09/manitoba-covid-reports-5/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-15T1630.html#Winnipeg_Regional_Health_Authority_changed",0,NA,"Single/unlinked cases","River East Transcona SD","Mixed","Winnipeg","MB",49.890277,-97.04326,0,0,0,"2021-02-03",5,8
"Garden Grove School École Garden Grove","1; 1; 1; 1",NA,NA,"2020-10-27; 2020-10-31; 2020-11-02; 2020-12-16","https://masks4canada.org/2020/10/29/winnipeg-schools-covid-reports-2020-10-28/; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-31T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-21T1630.html#Winnipeg_Regional_Health_Authority_changed",0,NA,"Single/unlinked cases","Winnipeg SD","Elementary","Winnipeg","MB",49.9396823,-97.215369,0,0,0,"2020-12-16",54,4
"Maples Met School","1; 1",NA,NA,"2020-10-25; 2020-12-01","https://masks4canada.org/2020/10/26/winnipeg-schools-covid-report-2020-10-25/;https://masks4canada.org/2020/12/03/manitoba-covid-school-reports-13/",0,NA,"Single/unlinked cases","Seven Oaks SD","Secondary","Winnipeg","MB",49.9546084,-97.1721777,0,0,0,"2020-12-01",69,2
"CollÃ¨ge St. Norbert Collegiate","1; 1",NA,NA,"2020-10-15; 2021-02-03","https://masks4canada.org/2020/10/19/arborgate-school-and-college-st-norbert-collegiate-covid-letter/",0,NA,"Single/unlinked cases","Seine River SD","Secondary","Winnipeg","MB",49.7634873,-97.1462097,0,0,0,"2021-02-03",5,2
"Alhijra Islamic School","1; 1",NA,NA,"2020-10-15; 2020-10-31","https://masks4canada.org/2020/10/20/winnipeg-school-exposures/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-31T1545.html#Winnipeg_Regional_Health_Authority_changed",0,NA,"Single/unlinked cases","Indep Schools","Mixed","Winnipeg","MB",49.903662,-97.106475,0,0,0,"2020-10-31",100,2
"Ecole leila north Community school","1; 1; 1; 1; 1; 1; 1; 1; 2",NA,NA,"2020-10-14; 2020-10-22; 2020-10-25; 2020-11-11; 2020-11-14; 2020-11-18; 2020-11-26; 2021-01-09; 2021-01-24","https://masks4canada.org/2020/10/24/ecole-leila-north-community-school-covid-reports/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-26T1545.html#Winnipeg_Regional_Health_Authority; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-14T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/21/winnipeg-covid-school-reports/;https://masks4canada.org/2020/12/01/manitoba-covid-reports/ ; https://drive.google.com/drive/folders/18COTSbmwyU9zIQ4POeZV4hA8hX04SpU9?usp=sharing",0,NA,"Single/unlinked cases","Seven Oaks SD","Middle School","Winnipeg","MB",49.962963,-97.172606,0,0,0,"2021-01-24",15,10
"The King's School","1; 1; 2; 1; 5",NA,NA,"2020-10-14; 2020-11-07; 2020-12-06; 2020-12-08; 2020-12-10","https://masks4canada.org/2020/10/19/the-kings-school-covid-letter/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-07T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/12/07/manitoba-covid-reports-3/;https://masks4canada.org/2020/12/09/manitoba-covid-reports-5/; https://masks4canada.org/2020/12/11/manitoba-covid-reports-7/",0,NA,"Single/unlinked cases","Indep Schools","Mixed","Winnipeg","MB",49.9084083,-97.0635185,0,0,0,"2020-12-10",60,10
"Niverville Middle School","1; 1",NA,NA,"2020-10-15; 2020-11-13","https://masks4canada.org/2020/10/20/niverville-middle-school-covid-letter/;https://masks4canada.org/2020/11/22/manitoba-covid-school-reports-3/",0,NA,"Single/unlinked cases","Hanover SD","Middle School","Niverville","MB",49.6014072,-97.0383525,0,0,0,"2020-11-13",87,2
"Clearspring Middle School","1; 1; 1; 1",NA,NA,"2020-10-15; 2020-11-25; 2020-11-25; 2020-11-28","https://masks4canada.org/2020/10/20/clearspring-middle-school-covid-letter/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-28T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/12/02/manitoba-covid-school-reports-12/",0,NA,"Single/unlinked cases","Hanover SD","Middle School","Steinbach","MB",49.5259998,-96.6640436,0,0,0,"2020-11-28",72,4
"Faraday School","1",NA,NA,"2020-10-09","https://masks4canada.org/2020/10/17/faraday-school-covid-letter/",0,NA,"Single/unlinked cases","Winnipeg SD","Elementary","Winnipeg","MB",49.9260012,-97.1483747,0,0,0,"2020-10-09",122,1
"O V Jewitt Community School","1; 1; 1; 1",NA,NA,"2020-10-09; 2020-11-02; 2020-11-11; 2020-12-11","https://masks4canada.org/2020/10/17/o-v-jewitt-community-school-covid-letter/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-02T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-12T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-15T1630.html#Winnipeg_Regional_Health_Authority_changed",0,NA,"Single/unlinked cases","Seven Oaks SD","Mixed","Winnipeg","MB",49.9512238,-97.1797914,0,0,0,"2020-12-11",59,4
"Kildonan East Collegiate","1; 1; 1",NA,NA,"2020-10-09; 2020-11-08; 2021-01-23","https://masks4canada.org/2020/10/17/kildonan-east-collegiate-covid-letter/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Winnipeg_Regional_Health_Authority_changed ; https://drive.google.com/drive/folders/1aObH-OgExxU-cz_lM26uKNn-fGo3cXgR?usp=sharing",0,NA,"Single/unlinked cases","River East Transcona SD","Secondary","Winnipeg","MB",49.9169635,-97.0755846,0,0,0,"2021-01-23",16,3
"Elwick Community School","1; 4",NA,NA,"2020-10-11; 2020-12-11","https://masks4canada.org/2020/10/17/elwick-community-school-covid-letter/;https://masks4canada.org/2020/12/16/manitoba-covid-reports-8/",0,NA,"Single/unlinked cases","Seven Oaks SD","Mixed","Winnipeg","MB",49.9449675,-97.1659966,0,0,0,"2020-12-11",59,5
"Churchill High School","1; 1; 2; 1","1",NA,"2020-09-09; 2020-10-15; 2020-11-01; 2020-12-04","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-183-2020-09-09/;https://masks4canada.org/2020/10/25/churchill-high-school-covid-report/;https://masks4canada.org/2020/11/03/winnipeg-covid-school-report-2020-11-01/;https://masks4canada.org/2020/12/06/manitoba-covid-reports-2/",0,NA,"Single/unlinked cases","Winnipeg SD","Secondary","Winnipeg","MB",49.8680767,-97.1316236,0,0,0,"2020-12-04",66,5
"New Era","1","1",NA,"2020-09-12","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-186-2020-09-12/",0,NA,"Single/unlinked cases","Brandon SD","Elementary","Brandon","MB",49.8442253,-99.944673,0,0,0,"2020-09-12",149,1
"Daniel McIntyre Collegiate Institute","1; 1; 2; 1; 1; 1; 1; 1; 1; 1; 2; 2; 1; 1; 2; 1; 2","1",NA,"2020-09-13; 2020-10-12; 2020-10-18; 2020-10-20; 2020-10-24; 2020-10-26; 2020-10-31; 2020-11-05; 2020-11-07; 2020-11-14; 2020-11-15; 2020-11-16; 2020-11-20; 2020-11-22; 2020-11-24; 2020-11-28; 2021-01-31","https://masks4canada.org/2020/10/24/daniel-mcintyre-collegiate-institute-covid-school-reports/; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-26T1545.html#Winnipeg_Regional_Health_Authority; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-31T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-07T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-14T1545.html#Winnipeg_Regional_Health_Authority_changed; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-16T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/21/winnipeg-covid-school-reports/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-22T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/24/manitoba-covid-school-reports-7/;https://masks4canada.org/2020/11/25/10237/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Winnipeg_Regional_Health_Authority_changed ; https://drive.google.com/drive/folders/18kptCt2PI8GwDcDDxCictEV8ODX4jDrF?usp=sharing",0,NA,"Single/unlinked cases","Winnipeg SD","Secondary","Winnipeg","MB",49.9000368,-97.1710176,0,0,0,"2021-01-31",8,22
"Beaverlodge School","1",NA,NA,"2020-09-14","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-beaverlodge-school-2020-09-14/;",0,NA,"Single/unlinked cases","Pembina Trails SD","Elementary","Winnipeg","MB",49.8509873,-97.3173564,0,0,0,"2020-09-14",147,1
"Meadows School","1; 1",NA,NA,"2020-09-20; 2021-02-03","https://masks4canada.org/covid-19-school-report-meadows-school/",0,NA,"Single/unlinked cases","Brandon SD","Mixed","Brandon","MB",49.8305549,-99.968706,0,0,0,"2021-02-03",5,2
"Gladstone Elementary School","1",NA,NA,"2020-09-22","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-2020-09-23/",0,NA,"Single/unlinked cases","Pine Creek SD","Elementary","Gladstone","MB",50.221827,-98.9500372,0,0,0,"2020-09-22",139,1
"St Aidan's Christian School","1; 2",NA,NA,"2020-09-15; 2020-10-31","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-190-2020-09-15/; https://winnipeg.ctvnews.ca/taking-a-look-at-what-schools-in-manitoba-have-had-cases-of-covid-19-1.5117280?fbclid=IwAR16rH_wQBxgdiKgfASA4S5XjvxBdcq2LxazLQeYAY24zNjXYuLI6aGB1S4 ;https://chvnradio.com/articles/province-says-st-amant-a-winnipeg-christian-school-others-new-covid-19-case-locations;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-31T1545.html#Winnipeg_Regional_Health_Authority_changed",0,NA,"Single/unlinked cases","Indep Schools","Mixed","Winnipeg","MB",49.89657,-97.1463211,0,0,0,"2020-10-31",100,3
"Gordon Bell High School","1; 2; 1; 1; 4",NA,NA,"2020-09-18; 2020-11-02; 2020-11-10; 2020-11-11; 2020-11-24","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-194-2020-09-19/;https://www.google.com/maps/d/u/0/edit?mid=1blA_H3Hv5S9Ii_vyudgDk-j6SfJQil9S&ll=49.88733948782668%2C-97.16138630608215&z=18;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T2228.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-12T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/26/manitoba-covid-school-reports-8/",0,NA,"Single/unlinked cases","Winnipeg SD","Secondary","Winnipeg","MB",49.8865167,-97.1617189,0,0,0,"2020-11-24",76,9
"St. Maurice School","1;1; 2; 1; 1",NA,NA,"2020-09-22; 2020-09-28; 2020-10-26; 2020-12-06; 2020-12-15","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-2020-09-23/;https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-203-2020-09-28/;https://masks4canada.org/2020/10/28/winnipeg-covid-school-reports-2020-10-27/;https://masks4canada.org/2020/12/11/manitoba-covid-reports-7/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-16T1630.html#Winnipeg_Regional_Health_Authority_changed",0,NA,"Single/unlinked cases","Arch. of Winnipeg CS","Mixed","Winnipeg","MB",49.8295966,-97.1525656,0,0,0,"2020-12-15",55,6
"Emerson Elementary School","1",NA,NA,"2020-09-23","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-2020-09-23",0,NA,"Single/unlinked cases","River East Transcona SD","Elementary","Winnipeg","MB",49.9564078,-97.0570341,0,0,0,"2020-09-23",138,1
"Grant Park High School","1; 1; 1; 1; 1; 1; 1; 1",NA,NA,"2020-09-23; 2020-10-23; 2020-11-01; 2020-11-03; 2020-11-11; 2020-11-27; 2020-11-29; 2020-12-19","https://masks4canada.org/2020/10/24/grant-park-high-school-covid-reports/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-01T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-03T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/21/winnipeg-covid-school-reports/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/12/21/manitoba-covid-reports-11/;https://masks4canada.org/2020/12/21/manitoba-covid-reports-11/",0,NA,"Single/unlinked cases","Winnipeg SD","Secondary","Winnipeg","MB",49.8560364,-97.1703415,0,0,0,"2020-12-19",51,8
"St. John's-Ravenscourt School","1; 1; 1; 1; 1; 1; 1; 1; 1",NA,NA,"2020-09-26; 2020-10-07; 2020-10-26; 2020-11-01; 2020-11-04; 2020-11-12; 2020-11-16; 2020-11-18; 2020-12-14","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-201-2020-09-26/ ; https://masks4canada.org/2020/10/09/manitoba-covid-19-bulletin-212-2020-10-07/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-01T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-14T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-16T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-20T1545.html#Winnipeg_Regional_Health_Authority_changed; https://masks4canada.org/2020/12/16/manitoba-covid-reports-8/",0,NA,"Single/unlinked cases","Indep Schools","Mixed","Winnipeg","MB",49.8433841,-97.1223423,0,0,0,"2020-12-14",56,9
"R J Waugh Elementary School","1",NA,NA,"2020-09-26","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-201-2020-09-26;",0,NA,"Single/unlinked cases","Beautiful Plains SD","Elementary","Carberry","MB",49.8708843,-99.3572884,0,0,0,"2020-09-26",135,1
"Carberry Collegiate","1; 1; 1",NA,NA,"2020-09-26; 2020-10-01; 2020-11-07","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-201-2020-09-26/;https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-206-2020-10-1/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Prairie_Mountain_Health_changed",0,NA,"Single/unlinked cases","Beautiful Plains SD","Mixed","Carberry","MB",49.8697787,-99.35826,0,0,0,"2020-11-07",93,3
"John W. Gunn Middle School","1; 1",NA,NA,"2020-09-26; 2020-10-25","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-201-2020-09-26;https://masks4canada.org/2020/10/26/winnipeg-schools-covid-report-2020-10-25/",0,NA,"Single/unlinked cases","River East Transcona SD","Middle School","Winnipeg","MB",49.9021449,-97.0113962,0,0,0,"2020-10-25",106,2
